City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,santa marta de ortigueira,43.6833,-7.85,282.65,73,46,2.32,ES,1711757307
84,tura,25.5198,90.2201,293.52,79,90,2.0,IN,1711757308
85,saipan,15.1355,145.701,304.54,62,20,7.2,MP,1711757158
86,taro,-8.3862,115.28,297.15,88,62,0.83,ID,1711757309
87,isafjordur,66.0755,-23.124,271.57,89,99,12.68,IS,1711757310
88,kupang,-10.1667,123.5833,302.47,94,40,2.06,ID,1711757311
89,arrifes,37.7667,-25.7,287.29,77,40,7.2,PT,1711757311
90,antonio enes,-16.2325,39.9086,297.58,79,58,3.67,MZ,1711757312
91,iskateley,67.6803,53.1512,255.94,95,95,5.36,RU,1711757313
92,tofol,5.3248,163.0078,303.03,79,75,7.2,FM,1711757313
93,ulladulla,-35.35,150.4667,295.63,60,0,1.58,AU,1711757314
94,kismayo,-0.3582,42.5454,301.48,72,51,5.36,SO,1711757128
95,newman,37.3138,-121.0208,286.64,84,100,5.36,US,1711757316
96,khandyga,62.6667,135.6,256.53,94,98,1.75,RU,1711757316
97,markaz-e hukumat-e darweshan,31.1323,64.1934,285.14,54,14,6.33,AF,1711757317
98,strelka,58.0728,93.0344,273.73,99,100,2.78,RU,1711757318
99,thinadhoo,0.5333,72.9333,301.7,75,99,3.32,MV,1711757099
100,visakhapatnam,17.69,83.2093,299.29,68,0,3.9,IN,1711757262
101,pionerskiy,54.9508,20.2275,285.06,74,100,8.92,RU,1711757320
102,charters towers,-20.1,146.2667,299.19,56,25,7.69,AU,1711757321
103,belyy yar,53.6039,91.3903,273.09,86,0,0.0,RU,1711757321
104,hami,42.8,93.45,286.99,31,30,3.54,CN,1711757322
105,kasempa,-13.4584,25.8338,291.67,81,92,1.58,ZM,1711757324
106,east london,-33.0153,27.9116,294.15,69,99,4.4,ZA,1711757111
107,puerto deseado,-47.7503,-65.8938,284.4,31,52,12.87,AR,1711757291
108,portland,45.5234,-122.6762,291.11,41,75,3.6,US,1711757077
109,touros,-5.1989,-35.4608,300.63,84,53,3.27,BR,1711756862
110,lihue,21.9789,-159.3672,299.73,71,75,7.2,US,1711757328
111,gaiman,-43.2897,-65.4929,290.54,21,21,12.8,AR,1711757329
112,alpena,45.0617,-83.4327,274.88,80,0,3.6,US,1711757330
113,rocha,-34.4833,-54.3333,292.5,94,45,1.75,UY,1711757052
114,nova sintra,14.8667,-24.7167,292.02,74,44,8.54,CV,1711757331
